"Employment Income Statistics in 2010 (7), Sex (3), Work Activity in 2010 (3), Highest Certificate, Diploma or Degree (6) and Occupation - National Occupational Classification (NOC) 2011 (693) for the Population Aged 15 Years and Over in Private Households of Canada, Provinces and Territories, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Sex (3) =   Female"
"Work activity in 2010 (3) = Total - Work activity in 2010"
"Highest certificate, diploma or degree (6) = Total - Highest certificate, diploma or degree [3]"
"Occupation - National Occupational Classification (NOC) 2011 (693)","Total - Employment income statistics in 2010 [4]","  With employment income","    Median employment income [5]","    Average employment income [6]","  With wages and salaries","    Median wages and salaries [7]","    Average wages and salaries [8]", 
"          3219 Other medical technologists and technicians (except dental health)",43505,41340,26341,27230,41140,26350,27205 
"        322 Technical occupations in dental health care",28505,27360,42655,43601,26230,42728,43434 
"          3221 Denturists",880,805,36008,40566,615,34307,35841 
"          3222 Dental hygienists and dental therapists",23865,22980,45007,45081,22180,44995,45004 
"          3223 Dental technologists, technicians and laboratory assistants",3760,3575,32950,34776,3440,33008,34677 
"        323 Other technical occupations in health care",105235,99395,33319,33487,84175,36436,35652 
"          3231 Opticians",6060,5810,36645,36543,5630,36718,36141 
"          3232 Practitioners of natural healing",5660,5040,11272,15731,2350,12880,18092 
"          3233 Licensed practical nurses",54650,51930,39354,37520,51460,39455,37633 
"          3234 Paramedical occupations",9445,9045,49679,50834,9000,49594,50821 
"          3236 Massage therapists",23175,21560,16226,19904,10100,12999,17291 
"          3237 Other technical occupations in therapy and assessment",6240,6010,32034,33205,5635,32455,33095 
"      34 Assisting occupations in support of health services",244855,229845,28120,27961,227055,28252,28043 
"        341 Assisting occupations in support of health services",244855,229845,28120,27961,227055,28252,28043 
"          3411 Dental assistants",32440,30725,30022,30025,30460,30039,30051 
"          3413 Nurse aides, orderlies and patient service associates",187190,174995,27797,27576,172835,27980,27692 
"          3414 Other assisting occupations in support of health services",25220,24125,27705,28124,23755,27748,28026 
"    4 Occupations in education, law and social, community and government services",1514335,1417290,33548,40147,1328765,35095,40801 
"      40 Professional occupations in education services",519055,497960,51566,50275,492020,51878,50478 
"        401 University professors and post-secondary assistants",81075,74995,22679,41143,74115,22588,40872 
"          4011 University professors and lecturers",35300,33305,68720,68777,32805,69052,68540 
"          4012 Post-secondary teaching and research assistants",45775,41690,10713,19071,41315,10602,18906 
"        402 College and other vocational instructors",61735,58370,46374,47183,55580,48019,48246 
"          4021 College and other vocational instructors",61735,58370,46374,47183,55575,48019,48246 
"        403 Secondary and elementary school teachers and educational counsellors",376245,364595,55456,52648,362325,55617,52785 
"          4031 Secondary school teachers",110430,106955,58138,55080,106265,58310,55233 
"          4032 Elementary school and kindergarten teachers",249085,241485,54773,51837,240075,54884,51977 
"          4033 Educational counsellors",16735,16155,49739,48678,15980,49570,48650 
"      41 Professional occupations in law and social, community and government services",288605,272705,50162,56531,252975,50565,54663 
"        411 Judges, lawyers and Quebec notaries",37570,36165,81177,104516,30100,77868,91580 
"          4111 Judges",1160,1080,225220,188784,1055,228303,189620 
"          4112 Lawyers and Quebec notaries",36410,35085,79772,101927,29045,76034,88018 
"        415 Social and community service professionals",114240,109565,46469,46652,102540,47182,46917 
"          4151 Psychologists",17230,16540,49934,51794,12705,51441,51354 
"          4152 Social workers",49645,47735,51381,49890,46615,52024,50279 
"          4153 Family, marriage and other related counsellors",21680,20720,41706,41553,19250,42551,42535 
"          4154 Professional occupations in religion",8310,7855,34576,36332,7580,34994,36786 
"          4155 Probation and parole officers and related occupations",4375,4275,64079,59328,4270,64213,59233 
"          4156 Employment counsellors",13000,12440,38324,38040,12120,38557,38293 
"        416 Policy and program researchers, consultants and officers",136795,126980,49701,51389,120340,50510,52030 
"          4161 Natural and applied science policy researchers, consultants and program officers",11530,11010,56065,60654,10440,57428,58305 
"          4162 Economists and economic policy researchers and analysts",6970,6765,63904,66075,6595,64193,66680 
