"Employment Income Statistics in 2010 (7), Sex (3), Work Activity in 2010 (3), Highest Certificate, Diploma or Degree (6) and Occupation - National Occupational Classification (NOC) 2011 (693) for the Population Aged 15 Years and Over in Private Households of Canada, Provinces and Territories, 2011 National Household Survey"
"Geography = Canada [1]"
"Global non-response rate (GNR) [2] =  26.1 %"
"Sex (3) =   Male"
"Work activity in 2010 (3) = Total - Work activity in 2010"
"Highest certificate, diploma or degree (6) = Total - Highest certificate, diploma or degree [3]"
"Occupation - National Occupational Classification (NOC) 2011 (693)","Total - Employment income statistics in 2010 [4]","  With employment income","    Median employment income [5]","    Average employment income [6]","  With wages and salaries","    Median wages and salaries [7]","    Average wages and salaries [8]", 
"          2282 User support technicians",44655,42290,45648,47337,41445,45881,47603 
"          2283 Information systems testing technicians",4965,4625,44859,45928,4570,44935,45961 
"    3 Health occupations",228675,215850,59592,86865,184825,53676,70552 
"      30 Professional occupations in nursing",23860,22760,66014,64624,22440,66378,64886 
"        301 Professional occupations in nursing",23860,22760,66014,64624,22440,66378,64886 
"          3011 Nursing co-ordinators and supervisors",1325,1295,62179,62601,1290,62834,62847 
"          3012 Registered nurses and registered psychiatric nurses",22535,21465,66156,64746,21150,66499,65010 
"      31 Professional occupations in health (except nursing)",100495,94540,100345,135684,69765,81832,106156 
"        311 Physicians, dentists and veterinarians",68800,64430,124635,160403,46145,95162,120787 
"          3111 Specialist physicians",24205,22910,136577,195354,17595,96492,137968 
"          3112 General practitioners and family physicians",27435,25515,124852,150876,17970,92714,109901 
"          3113 Dentists",12795,11825,119824,138051,7230,109695,125533 
"          3114 Veterinarians",4365,4180,82674,90251,3355,77945,78742 
"        312 Optometrists, chiropractors and other health diagnosing and treating professionals",8785,8290,63304,78370,3710,63375,77091 
"          3121 Optometrists",2540,2435,89985,107354,1230,82750,107901 
"          3122 Chiropractors",4635,4335,54401,65769,1590,50138,54933 
"          3124 Allied primary health practitioners",435,420,84528,110011,405,81820,106235 
"          3125 Other professional occupations in health diagnosing and treating",1175,1105,36651,51752,485,40178,47474 
"        313 Pharmacists, dietitians and nutritionists",14090,13485,91787,100409,12710,89966,90235 
"          3131 Pharmacists",13425,12860,93595,102518,12170,91775,91568 
"          3132 Dietitians and nutritionists",665,620,59944,56983,545,59964,60262 
"        314 Therapy and assessment professionals",8820,8335,57950,58672,7205,56935,55473 
"          3141 Audiologists and speech-language pathologists",590,565,72861,80650,520,72819,74709 
"          3142 Physiotherapists",4760,4455,64341,64361,3690,62830,60149 
"          3143 Occupational therapists",1150,1100,67323,65108,975,65917,61035 
"          3144 Other professional occupations in therapy and assessment",2320,2215,33886,38456,2015,36189,39219 
"      32 Technical occupations in health",66185,62735,48529,52604,57265,50115,53228 
"        321 Medical technologists and technicians (except dental health)",25635,24385,49444,53022,24035,48879,51083 
"          3211 Medical laboratory technologists",3820,3685,59683,58058,3650,59819,58311 
"          3212 Medical laboratory technicians and pathologists' assistants",4920,4565,41000,43496,4515,41147,43307 
"          3213 Animal health technologists and veterinary technicians",1300,1240,33627,35060,1220,33937,35295 
"          3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",2780,2690,69588,70165,2670,68812,69721 
"          3215 Medical radiation technologists",4930,4765,68139,76818,4635,66358,67893 
"          3216 Medical sonographers",630,565,75208,77107,550,74792,76926 
"          3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",370,345,54888,51796,335,54958,52109 
"          3219 Other medical technologists and technicians (except dental health)",6890,6525,28268,33801,6465,27972,33396 
"        322 Technical occupations in dental health care",6305,5860,44914,55462,4725,45272,55847 
"          3221 Denturists",1565,1430,50083,61704,825,45381,50462 
"          3222 Dental hygienists and dental therapists",770,740,53770,52900,680,53932,54477 
"          3223 Dental technologists, technicians and laboratory assistants",3975,3695,42191,53555,3225,44230,57520 
"        323 Other technical occupations in health care",34245,32480,49052,51774,28500,52362,54601 
"          3231 Opticians",3220,2975,44440,45967,2740,45350,46426 
"          3232 Practitioners of natural healing",2105,1845,14987,23991,780,14979,25907 
"          3233 Licensed practical nurses",5590,5350,42774,42104,5285,42783,41815 
"          3234 Paramedical occupations",17310,16675,66184,66109,16585,66156,66244 
"          3236 Massage therapists",4605,4295,20993,25212,1990,14757,20008 
"          3237 Other technical occupations in therapy and assessment",1410,1340,35787,48232,1120,35898,43962 
"      34 Assisting occupations in support of health services",38135,35810,33225,32142,35360,33350,31952 
